"","AGE","NH_WHITE","COMM_PT","H_F1","REG_DAYS","PR_PELIG","E_PELIG","POLITICALC","MESSAGE_A","MOVED_AD","Partition"
"110",33,54,0,0,5332,0,30,0,1,"N","V"
"111",54,58,1,0,1177,0,50,1,1,"N","T"
"112",74,98,0,0,2358,0,50,0,1,"Y","V"
"113",59,87,1,0,0,33,50,0,1,"N","T"
"114",29,87,1,0,3506,67,80,0,1,"Y","T"
"115",48,23,11,0,4871,33,20,1,1,"N","T"
"116",31,64,4,0,1651,0,0,1,1,"N","T"
"117",72,82,0,0,0,100,90,0,1,"Y","T"
"118",75,88,2,0,0,0,50,1,1,"N","V"
"119",68,45,0,0,4338,0,50,0,1,"Y","V"
"120",59,64,4,0,0,0,50,1,1,"N","T"
"121",34,89,0,0,4947,0,10,0,1,"N","V"
"122",34,62,2,0,3317,67,67,0,1,"Y","V"
"123",66,88,0,0,5132,67,80,1,1,"N","V"
"124",68,61,0,0,3536,0,30,0,1,"Y","T"
"125",50,97,0,0,2889,67,78,1,1,"Y","V"
"126",26,87,0,0,2884,0,0,0,1,"Y","T"
"127",22,76,2,0,400,0,0,0,1,"N","V"
"128",42,45,0,0,2272,67,63,0,1,"Y","V"
"129",25,62,2,0,2384,0,25,0,1,"N","T"
"130",50,76,0,0,7988,0,40,0,1,"N","T"
"131",30,87,2,0,3482,0,0,1,1,"N","T"
"132",49,87,0,0,1970,0,60,0,1,"Y","V"
"133",39,63,3,0,3876,0,10,1,1,"N","T"
"134",53,89,0,0,3786,33,60,0,1,"N","T"
"135",69,58,1,0,3157,0,0,1,1,"Y","V"
"136",44,91,0,0,4058,33,70,0,1,"N","V"
"137",22,23,11,0,1313,0,50,1,1,"Y","V"
"138",88,78,5,1,3465,33,50,1,1,"N","T"
"139",76,78,5,1,1995,0,60,1,1,"Y","V"
"140",85,89,0,0,5944,33,50,0,1,"N","V"
"141",41,64,4,0,7201,0,40,1,1,"N","T"
"142",70,67,3,0,0,0,60,1,1,"Y","T"
"143",57,62,2,0,5473,0,40,0,1,"N","V"
"144",39,85,4,0,6509,0,10,1,1,"Y","T"
"145",52,88,2,0,3303,0,0,1,1,"N","T"
"146",39,87,1,0,2673,0,13,0,1,"N","T"
"147",64,78,1,0,12418,33,70,0,1,"N","T"
"148",74,91,0,0,335,0,0,0,1,"N","V"
"149",23,63,3,1,678,0,0,1,1,"N","T"
"150",50,63,3,0,5514,0,30,1,1,"Y","V"
"151",52,42,17,0,0,33,60,0,1,"Y","T"
"152",56,85,4,0,7944,33,50,1,1,"Y","T"
"153",84,68,0,1,6399,0,0,0,1,"Y","V"
"154",38,67,3,0,1265,0,33,1,1,"Y","T"
"155",44,23,11,0,0,0,0,1,1,"N","T"
"156",61,63,3,0,7812,67,80,1,1,"Y","T"
"157",49,63,3,0,7013,0,0,1,1,"N","T"
"158",75,89,0,0,3430,100,90,0,1,"N","T"
"159",27,42,17,0,3338,0,11,0,1,"Y","V"
"160",51,54,0,0,909,0,0,0,1,"N","V"
"161",21,54,0,0,740,0,0,0,1,"N","V"
"162",74,89,0,0,4362,33,70,0,1,"N","V"
"163",51,92,4,0,0,67,70,1,1,"N","T"
"164",44,78,5,0,4858,0,40,1,1,"Y","V"
"165",60,64,4,1,6408,33,70,1,1,"Y","V"
"166",31,67,3,0,4162,0,10,1,1,"N","T"
"167",44,98,0,0,2660,0,50,0,1,"Y","V"
"168",85,78,5,0,1455,0,50,1,1,"Y","V"
"169",35,58,1,0,790,0,50,1,1,"Y","V"
"170",37,42,17,0,4549,0,20,0,1,"Y","V"
"171",66,62,2,0,14399,67,70,0,1,"N","T"
"172",19,62,2,0,706,0,0,0,1,"N","T"
"173",29,72,10,0,3500,33,60,1,1,"Y","V"
"174",52,45,0,0,420,0,0,0,1,"N","V"
"175",62,87,2,0,0,0,50,1,1,"Y","V"
"176",76,63,1,0,0,67,80,4,1,"Y","T"
"177",95,89,0,0,0,0,20,0,1,"N","V"
"178",32,87,0,0,5139,0,30,0,1,"N","T"
"179",50,88,2,0,7139,100,90,1,1,"Y","T"
"180",61,76,2,0,2799,67,78,0,1,"Y","V"
"181",50,85,4,0,0,67,90,1,1,"N","T"
"182",29,83,1,0,3812,0,40,0,1,"Y","V"
"183",46,58,1,0,0,0,30,1,1,"N","T"
"184",52,68,1,0,4535,0,30,0,1,"N","T"
"185",69,85,4,0,4130,0,30,1,1,"N","V"
"186",55,67,3,0,0,0,40,1,1,"N","V"
"187",30,61,0,0,4491,0,10,0,1,"N","T"
"188",74,61,0,0,3366,67,78,0,1,"Y","T"
"189",25,58,1,0,754,0,50,1,1,"N","V"
"190",24,62,2,0,1971,0,20,0,1,"N","T"
"191",44,64,4,0,6334,0,20,1,1,"N","T"
"192",73,88,2,0,0,0,40,0,1,"N","T"
"193",75,54,0,0,10874,0,60,0,1,"Y","T"
"194",39,88,0,0,1343,100,100,1,1,"Y","V"
"195",78,63,1,0,4172,33,70,0,1,"N","T"
"196",56,42,19,0,3254,67,78,0,1,"Y","V"
"197",37,64,4,0,6377,0,10,1,1,"N","T"
"198",66,68,1,0,6473,0,0,0,1,"Y","V"
"199",58,64,4,0,0,0,50,1,1,"N","T"
"200",62,42,17,0,0,67,70,0,1,"N","V"
"201",18,58,1,0,613,0,0,0,1,"N","T"
"202",33,87,2,1,3807,0,20,1,1,"Y","T"
"203",50,88,0,0,0,100,90,1,1,"Y","T"
"204",48,88,0,0,3456,0,50,1,1,"Y","V"
"205",80,37,4,0,20964,33,60,0,1,"Y","V"
"206",67,87,2,0,5069,100,90,1,1,"Y","V"
"207",65,88,2,0,0,67,80,1,1,"Y","T"
"208",68,87,1,0,2066,0,50,0,1,"N","V"
"209",43,54,0,0,7931,0,40,0,1,"Y","V"
"210",81,68,1,0,15860,33,60,0,1,"Y","V"
"211",69,23,11,0,6458,67,70,0,1,"N","V"
"212",71,67,3,1,3456,0,40,1,1,"N","T"
"213",61,88,2,0,0,0,50,1,1,"Y","T"
"214",96,92,4,0,0,67,70,1,1,"N","T"
"215",18,85,4,0,673,0,0,1,1,"Y","T"
"216",57,61,0,0,0,100,90,0,1,"N","T"
"217",57,63,3,0,9315,0,50,1,1,"N","T"
"218",22,85,4,0,1644,0,0,1,1,"Y","T"
"219",37,53,2,0,538,0,100,1,1,"N","V"
"220",70,45,0,0,5067,33,70,0,1,"N","V"
"221",44,37,4,0,5044,0,0,0,1,"N","T"
"222",58,92,4,0,0,100,90,1,1,"N","T"
"223",71,87,1,0,3025,33,56,1,1,"N","T"
"224",83,67,3,0,21003,0,60,1,1,"N","V"
"225",73,42,17,0,18874,67,90,7,1,"N","T"
"226",37,53,2,0,916,0,50,1,1,"N","T"
"227",60,89,0,0,2381,0,25,0,1,"N","V"
"228",48,76,2,1,1982,0,20,0,1,"Y","V"
"229",52,88,2,0,3086,0,11,1,1,"N","V"
"230",34,83,1,0,2364,0,50,0,1,"Y","T"
"231",53,89,0,0,412,0,0,1,1,"N","V"
"232",20,68,1,0,720,0,50,0,1,"N","T"
"233",54,98,0,0,1912,50,100,1,1,"N","T"
"234",55,53,2,0,7309,67,50,1,1,"N","V"
"235",68,88,0,1,7876,67,80,0,1,"Y","T"
"236",38,85,4,0,6012,0,50,1,1,"N","T"
"237",63,89,0,0,0,0,50,1,1,"Y","V"
"238",36,54,0,0,6327,0,20,0,1,"N","V"
"239",56,78,5,0,342,0,0,1,1,"N","V"
"240",24,78,5,0,2042,33,67,1,1,"Y","T"
"241",40,58,5,0,3463,67,70,0,1,"N","T"
"242",51,42,17,1,5010,0,50,0,1,"Y","T"
"243",71,54,0,0,13656,67,80,0,1,"N","T"
"244",78,67,3,0,3666,67,90,1,1,"N","V"
"245",68,89,0,0,16620,0,50,0,1,"N","V"
"246",72,68,1,0,2344,0,50,0,1,"Y","V"
"247",61,37,4,0,6612,0,0,0,1,"Y","V"
"248",49,61,0,0,0,100,80,0,1,"N","T"
"249",78,23,11,1,15921,0,60,1,1,"Y","T"
"250",39,87,2,0,5593,0,0,1,1,"Y","V"
"251",44,45,0,0,840,0,50,0,1,"N","T"
"252",35,88,2,0,3920,0,40,1,1,"N","T"
"253",33,88,2,1,5235,33,70,1,1,"Y","V"
"254",58,87,1,0,7809,0,50,0,1,"N","T"
"255",20,42,19,0,1002,0,50,0,1,"Y","T"
"256",60,42,17,1,0,0,50,0,1,"N","V"
"257",29,63,3,0,3892,0,20,1,1,"N","T"
"258",52,58,1,0,5821,67,70,0,1,"N","V"
"259",37,83,1,0,1609,0,50,1,1,"N","V"
"260",79,78,5,1,0,0,20,1,1,"Y","V"
"261",22,42,17,0,358,0,0,0,1,"N","V"
"262",38,67,3,0,7098,0,50,1,1,"Y","T"
"263",74,58,5,0,620,0,50,0,1,"N","V"
"264",27,23,11,0,3191,0,0,1,1,"N","V"
"265",62,45,0,0,2352,100,63,0,1,"Y","T"
"266",70,78,5,0,0,33,70,1,1,"Y","V"
"267",68,78,5,0,1034,0,50,1,1,"Y","V"
"268",28,85,4,0,3430,0,30,1,1,"Y","V"
"269",39,23,11,0,2035,0,50,0,1,"Y","V"
"270",57,67,3,0,0,0,50,1,1,"N","T"
"271",48,23,11,0,10746,0,50,1,1,"Y","V"
"272",26,42,17,0,3128,0,0,0,1,"N","V"
"273",64,37,4,0,0,100,90,0,1,"N","V"
"274",48,31,13,0,5242,0,0,0,1,"N","V"
"275",55,63,3,0,7222,0,60,1,1,"Y","T"
"276",19,87,2,0,693,0,0,1,1,"Y","T"
"277",68,45,0,0,15129,0,30,0,1,"N","T"
"278",48,63,3,0,1974,0,40,1,1,"N","T"
"279",31,91,0,0,273,0,0,0,1,"N","T"
"280",52,85,4,1,972,0,50,1,1,"Y","V"
"281",31,85,4,0,3492,0,30,0,1,"N","V"
"282",39,62,2,0,6808,0,10,0,1,"N","V"
"283",56,62,2,0,6385,100,90,0,1,"N","T"
"284",70,42,17,0,5291,0,0,0,1,"Y","T"
"285",76,83,1,0,0,100,80,0,1,"Y","V"
"286",40,78,5,0,936,0,50,1,1,"N","V"
"287",47,68,1,0,10595,33,30,0,1,"N","T"
"288",28,58,1,0,3501,0,20,1,1,"N","V"
"289",45,76,2,0,6585,0,30,0,1,"N","V"
"290",39,92,4,0,2972,33,67,1,1,"N","V"
"291",60,37,4,0,2638,0,25,0,1,"Y","V"
"292",42,23,11,0,5608,100,90,1,1,"Y","V"
"293",18,68,1,0,391,0,0,0,1,"N","T"
"294",58,99,0,0,12237,0,30,0,1,"N","T"
"295",44,83,1,0,3430,33,60,0,1,"N","T"
"296",39,23,11,0,4904,33,60,1,1,"Y","V"
"297",48,64,4,0,4247,33,60,1,1,"Y","T"
"298",66,64,4,0,0,0,50,1,1,"N","V"
"299",34,85,4,0,1992,0,60,1,1,"Y","T"
"300",39,63,3,0,4023,0,50,1,1,"Y","T"
"301",35,45,0,0,3422,0,0,1,1,"Y","V"
"302",29,82,0,0,3498,0,10,0,1,"Y","V"
"303",44,88,0,1,3798,0,30,0,1,"Y","T"
"304",71,74,1,0,6516,0,0,1,1,"Y","T"
"305",73,45,0,0,4197,100,90,1,1,"N","T"
"306",61,88,0,1,12207,0,40,0,1,"N","T"
"307",62,62,2,0,6349,0,30,0,1,"N","V"
"308",66,64,4,0,6895,0,60,1,1,"Y","V"
"309",66,62,2,0,2121,0,50,0,1,"N","T"
"310",26,61,0,0,3252,33,56,0,1,"N","T"
"311",28,23,11,0,3408,0,33,1,1,"Y","T"
"312",47,58,1,1,7013,67,80,1,1,"Y","T"
"313",41,63,3,1,1383,0,25,1,1,"Y","V"
"314",75,23,11,1,5893,0,60,1,1,"Y","T"
"315",59,69,0,0,4156,67,60,0,1,"N","T"
"316",21,42,17,0,57,0,0,0,1,"N","T"
"317",87,88,0,0,1970,0,60,1,1,"Y","V"
"318",52,85,4,0,441,0,0,1,1,"Y","V"
"319",67,65,2,1,16656,67,80,0,1,"Y","V"
"320",24,42,17,0,1995,0,40,0,1,"Y","T"
"321",48,54,0,0,6214,0,60,0,1,"N","T"
"322",22,88,2,0,288,0,0,1,1,"Y","V"
"323",55,78,5,0,7225,0,50,1,1,"N","T"
"324",50,76,0,0,1912,0,0,0,1,"N","T"
"325",54,78,5,0,7893,0,40,1,1,"Y","V"
"326",34,23,11,0,655,0,50,1,1,"Y","T"
"327",66,87,1,0,10807,33,60,0,1,"N","T"
"328",67,42,19,0,0,33,70,0,1,"Y","V"
"329",92,67,3,0,0,33,50,1,1,"Y","T"
"330",63,98,0,0,3500,67,80,0,1,"N","T"
"331",31,78,5,0,1632,0,0,1,1,"N","T"
"332",65,67,3,0,15952,33,60,1,1,"N","V"
"333",61,89,0,0,274,0,0,0,1,"N","T"
"334",27,87,2,0,2609,0,13,1,1,"Y","T"
"335",59,76,0,0,705,0,50,0,1,"N","T"
"336",35,58,1,1,6292,0,50,1,1,"Y","T"
"337",42,64,4,0,0,33,60,1,1,"N","V"
"338",42,37,4,0,1999,0,40,0,1,"Y","T"
"339",30,67,3,0,2227,0,13,1,1,"N","T"
"340",52,23,11,0,7291,0,50,1,1,"N","V"
"341",32,67,3,0,2485,0,38,1,1,"N","T"
"342",63,76,0,0,4886,33,70,2,1,"Y","T"
"343",27,63,3,0,328,0,0,1,1,"N","T"
"344",56,42,19,0,0,0,10,0,1,"Y","T"
"345",43,87,2,0,5172,0,30,1,1,"N","T"
"346",89,45,0,0,19512,100,90,0,1,"N","T"
"347",33,87,0,0,5591,33,30,0,1,"N","V"
"348",33,61,0,0,2589,0,38,0,1,"N","T"
"349",53,63,3,0,3430,0,20,1,1,"N","T"
"350",41,62,2,1,7020,0,30,0,1,"Y","V"
"351",59,53,2,0,9254,67,70,1,1,"Y","T"
"352",74,87,1,0,6180,67,80,1,1,"Y","T"
"353",55,72,10,0,7889,33,50,0,1,"N","V"
"354",66,78,1,0,7076,0,40,0,1,"N","T"
"355",31,65,2,0,1265,0,0,0,1,"N","V"
"356",38,76,0,0,7298,0,20,0,1,"N","T"
"357",68,54,0,0,0,0,30,0,1,"N","V"
"358",92,42,17,0,0,0,0,0,1,"Y","T"
"359",37,58,1,0,5748,0,0,1,1,"N","V"
"360",48,64,4,0,4487,33,60,0,1,"Y","T"
"361",31,89,0,0,4731,0,10,0,1,"N","V"
"362",38,53,2,0,512,0,100,1,1,"N","V"
"363",42,67,3,0,481,0,0,1,1,"N","T"
"364",23,58,1,0,662,0,50,1,1,"Y","T"
"365",70,85,4,0,0,33,60,1,1,"Y","V"
"366",37,88,0,0,1385,0,50,0,1,"N","T"
"367",18,42,19,0,596,0,0,1,1,"N","T"
"368",61,54,0,0,2184,0,38,0,1,"N","T"
"369",57,42,17,1,7272,0,30,0,1,"N","T"
"370",44,88,2,0,3525,0,10,1,1,"Y","T"
"371",23,58,1,0,538,0,0,1,1,"Y","V"
"372",62,88,0,0,5590,0,0,1,1,"Y","T"
"373",73,67,3,1,15190,67,70,1,1,"Y","T"
"374",53,78,5,0,3430,0,50,1,1,"Y","V"
"375",64,23,11,0,1215,0,100,1,1,"Y","T"
"376",19,63,3,1,412,0,0,1,1,"N","T"
"377",29,54,0,0,3835,0,10,0,1,"Y","T"
"378",33,92,4,1,1119,0,50,1,1,"Y","T"
"379",61,64,4,0,7864,0,40,1,1,"N","V"
"380",44,64,4,0,6613,0,0,1,1,"N","T"
"381",42,45,0,0,7826,0,50,0,1,"Y","T"
"382",83,85,4,1,2346,0,0,1,1,"N","T"
"383",33,45,0,1,1265,0,0,0,1,"Y","T"
"384",28,42,19,0,3786,0,10,2,1,"N","V"
"385",33,76,2,0,335,0,0,0,1,"N","V"
"386",49,64,4,0,6408,0,30,1,1,"N","V"
"387",73,82,0,1,2960,33,67,0,1,"Y","T"
"388",29,23,11,0,3430,67,70,1,1,"Y","T"
"389",52,87,0,0,3459,0,30,0,1,"N","T"
"390",64,62,2,0,3254,0,33,0,1,"N","V"
"391",73,76,0,0,6020,0,10,0,1,"N","T"
"392",34,88,2,0,5170,0,0,1,1,"N","T"
"393",53,58,1,0,3970,0,40,1,1,"N","T"
"394",32,63,3,0,596,0,50,1,1,"Y","V"
"395",83,87,0,0,0,0,40,1,1,"Y","T"
"396",65,45,0,1,4635,0,50,0,1,"Y","T"
"397",27,78,5,1,216,0,0,1,1,"Y","V"
"398",39,42,17,0,7209,0,20,0,1,"N","V"
"399",53,78,5,0,5907,0,10,1,1,"N","V"
"400",60,87,0,0,10899,0,50,0,1,"N","T"
"401",46,42,19,0,6823,0,40,0,1,"N","V"
"402",38,23,11,0,6433,0,10,1,1,"Y","T"
"403",42,23,11,0,8738,33,60,1,1,"Y","T"
"404",61,99,0,0,12207,33,60,0,1,"N","T"
"405",27,45,0,0,1972,0,20,0,1,"N","V"
"406",34,78,5,0,4892,0,30,1,1,"N","T"
"407",23,63,3,0,526,0,100,1,1,"Y","T"
"408",77,89,0,0,5671,0,50,0,1,"Y","T"
"409",69,67,3,0,0,0,40,1,1,"Y","V"
"410",18,61,0,0,239,0,0,0,1,"N","T"
"411",75,64,4,0,4037,33,80,1,1,"N","T"
"412",32,54,0,0,1973,0,40,0,1,"N","T"
"413",48,23,11,0,1442,0,50,1,1,"N","T"
"414",60,88,0,0,5531,0,30,1,1,"Y","T"
"415",71,76,2,0,3373,100,89,0,1,"N","T"
"416",78,67,3,1,0,0,50,0,1,"N","V"
"417",33,58,1,0,1034,0,50,1,1,"N","T"
"418",57,78,5,0,0,0,60,1,1,"N","V"
"419",79,23,11,0,8288,33,50,1,1,"Y","V"
"420",34,58,5,0,3885,0,0,0,1,"N","V"
"421",34,64,4,0,6318,0,30,1,1,"N","V"
"422",70,58,1,0,0,33,70,0,1,"Y","T"
"423",56,64,4,0,600,100,100,1,1,"N","V"
"424",55,42,17,0,6710,100,90,0,1,"Y","V"
"425",51,68,1,0,3442,0,40,0,1,"N","V"
"426",53,92,4,0,8678,0,40,1,1,"N","T"
"427",88,72,10,0,0,0,60,1,1,"Y","T"
"428",55,31,13,0,0,0,60,0,1,"N","V"
"429",38,87,0,0,6929,33,60,0,1,"N","T"
"430",65,76,2,0,4831,33,60,0,1,"N","T"
"431",59,78,5,0,6615,0,0,1,1,"N","V"
"432",27,62,2,0,2063,0,17,0,1,"Y","T"
"433",79,64,4,0,6361,0,30,1,1,"Y","T"
"434",39,88,0,0,525,0,100,1,1,"N","T"
"435",22,85,4,0,929,0,50,1,1,"N","T"
"436",24,63,3,0,2001,0,40,1,1,"Y","T"
"437",57,62,2,0,5585,33,60,0,1,"Y","V"
"438",51,88,0,0,8544,33,70,1,1,"Y","T"
"439",84,31,13,0,0,0,30,0,1,"Y","T"
"440",76,58,1,0,4446,33,70,1,1,"Y","T"
"441",24,64,4,0,2001,50,80,1,1,"Y","V"
"442",37,87,1,0,6927,0,20,0,1,"N","T"
"443",63,88,0,0,3126,0,33,1,1,"N","T"
"444",77,63,1,0,7872,0,40,0,1,"Y","T"
"445",39,97,0,0,6419,0,0,1,1,"Y","T"
"446",75,67,3,1,0,67,70,1,1,"Y","V"
"447",42,68,1,0,4544,0,50,0,1,"N","T"
"448",68,42,19,1,11538,67,70,0,1,"Y","V"
"449",67,87,0,1,2181,33,38,0,1,"Y","T"
"450",43,87,0,0,1667,0,0,0,1,"N","T"
"451",29,63,1,0,3430,0,30,0,1,"N","V"
"452",23,87,1,0,363,0,0,0,1,"N","T"
"453",72,45,0,0,7833,67,80,0,1,"Y","T"
"454",31,87,1,0,3458,0,30,0,1,"N","T"
"455",53,67,3,0,12207,33,70,1,1,"Y","T"
"456",41,78,5,0,6068,0,0,1,1,"N","T"
"457",74,64,4,0,0,0,50,1,1,"Y","T"
"458",41,89,0,1,3498,0,30,0,1,"N","T"
"459",89,88,0,0,11569,100,90,1,1,"N","T"
"460",64,23,11,0,2965,33,44,1,1,"Y","T"
"461",66,85,4,1,7200,0,50,1,1,"N","T"
"462",54,42,17,1,7288,0,0,0,1,"N","T"
"463",21,64,4,0,662,0,0,1,1,"N","V"
"464",59,88,0,0,6390,0,30,1,1,"N","T"
"465",72,63,1,0,0,100,90,0,1,"N","V"
"466",61,89,0,1,0,67,80,0,1,"N","T"
"467",26,76,0,0,2843,33,56,0,1,"N","T"
"468",42,85,4,0,5632,0,0,1,1,"Y","T"
"469",51,53,2,0,7152,33,50,1,1,"N","V"
"470",71,54,0,0,3447,33,70,0,1,"N","T"
"471",20,42,17,0,665,0,50,0,1,"Y","V"
"472",64,63,3,0,15190,0,40,1,1,"Y","V"
"473",71,53,2,0,2843,67,89,1,1,"N","V"
"474",45,23,11,0,3455,0,40,1,1,"Y","V"
"475",68,85,4,0,5017,0,40,1,1,"N","V"
"476",53,76,0,0,5312,33,60,0,1,"N","V"
"477",27,88,0,1,1996,0,40,0,1,"Y","T"
"478",18,63,3,0,347,0,0,1,1,"N","T"
"479",47,76,2,0,4981,0,20,0,1,"N","T"
"480",82,65,2,1,18805,0,0,0,1,"N","T"
"481",39,87,2,0,7253,0,30,1,1,"N","T"
"482",48,63,3,1,5625,0,0,1,1,"N","T"
"483",31,78,5,0,3434,0,20,1,1,"N","T"
"484",36,23,11,0,4383,0,40,1,1,"N","T"
"485",66,31,13,0,0,100,90,0,1,"Y","T"
"486",83,68,0,0,7232,0,60,0,1,"N","V"
"487",86,97,0,0,3884,0,10,1,1,"Y","T"
"488",53,45,0,0,7865,100,90,0,1,"Y","T"
"489",62,63,3,1,4931,0,40,1,1,"Y","T"
"490",85,63,1,0,757,0,0,0,1,"N","T"
"491",65,87,1,0,12268,33,70,0,1,"N","T"
