Version,Time_of_Day,Completion
B,Morning,1
B,Morning,1
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,1
B,Morning,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,1
B,Afternoon,1
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,1
B,Afternoon,1
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,1
B,Afternoon,0
B,Afternoon,1
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,0
B,Afternoon,1
B,Afternoon,1
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,1
B,Evening,0
B,Evening,1
B,Evening,1
B,Evening,1
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,1
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,1
B,Evening,1
B,Evening,1
B,Evening,0
B,Evening,1
B,Evening,1
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,1
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,1
B,Evening,0
B,Evening,0
B,Evening,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,0
C,Morning,1
C,Morning,0
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,1
C,Morning,1
C,Morning,1
C,Morning,0
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,0
C,Morning,0
C,Morning,1
C,Morning,0
C,Morning,1
C,Morning,0
C,Morning,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,0
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,0
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Afternoon,1
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,1
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,1
C,Evening,1
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
C,Evening,1
C,Evening,0
C,Evening,0
