customer_id,prior_quarter_spend,loyalty_enrolled,next_quarter_spend,age,region,tenure
218,549.3,1,698.8,26,South,0.3
219,529.93,1,650.82,33,South,1.8
220,569.84,1,709.08,27,North,7.0
221,531.52,1,710.89,28,West,0.9
222,513.66,1,685.94,33,North,0.1
223,418.73,0,553.03,27,North,0.8
224,473.54,0,564.72,31,East,1.4
225,453.04,0,592.77,16,North,0.4
226,448.8,0,581.08,37,East,2.1
227,594.6,1,733.62,35,East,12.2
228,478.62,0,606.23,26,South,1.2
229,578.41,1,728.53,41,East,0.9
230,526.23,1,649.68,44,East,1.0
231,558.96,1,724.9,18,South,0.2
232,500.53,1,656.24,27,North,4.3
233,515.38,1,721.49,27,West,1.1
234,498.5,0,578.43,25,West,1.0
235,439.05,0,615.51,43,West,2.2
236,544.49,1,682.63,33,North,1.2
237,456.15,0,554.15,32,East,2.1
238,404.86,0,528.4,14,West,0.1
239,529.09,1,657.85,41,North,3.4
240,435.42,0,573.98,22,East,5.6
241,588.09,1,718.54,35,South,2.1
242,590.79,1,687.26,37,West,6.2
243,582.97,1,699.05,48,East,0.3
244,474.03,0,648.69,21,West,1.3
245,403.09,0,593.68,4,West,1.8
246,585.66,1,714.49,36,West,1.7
247,485.64,0,592.52,53,East,1.0
248,593.33,1,709.6,47,North,0.8
249,592.72,1,724.04,37,East,0.3
250,570.6,1,661.68,30,West,1.0
251,458.89,0,567.61,43,East,0.4
252,477.02,0,536.15,25,South,2.7
253,570.23,1,704.11,39,North,0.5
254,463.38,0,597.45,40,East,0.1
255,433.9,0,545.84,45,South,1.6
256,511.36,1,704.04,62,North,1.8
257,587.23,1,665.57,38,South,4.1
258,539.21,1,629.59,29,North,1.7
259,514.01,1,665.14,34,East,0.8
260,419.44,0,583.07,17,South,3.2
261,523.0,1,714.32,28,West,1.6
262,598.01,1,695.04,30,South,0.2
263,428.02,0,589.17,29,North,1.7
264,503.67,1,651.04,36,East,4.8
265,575.47,1,690.11,26,North,1.0
266,548.15,1,705.4,46,South,0.7
267,539.4,1,693.21,35,South,0.3
268,540.5,1,627.01,34,West,0.3
269,471.9,0,627.44,31,East,1.1
270,458.72,0,616.63,36,East,1.8
271,561.87,1,668.36,43,South,0.2
272,562.02,1,699.09,26,East,5.6
273,573.41,1,708.87,28,West,2.8
274,582.65,1,707.41,31,North,1.8
275,502.27,1,634.85,21,East,3.5
276,500.3,1,630.03,26,South,0.2
277,559.66,1,685.03,30,North,1.3
278,529.99,1,703.18,43,North,2.0
279,540.39,1,690.54,37,West,3.5
280,559.16,1,674.38,36,South,3.1
281,578.0,1,719.95,43,East,0.6
282,467.6,0,495.1,33,South,5.7
283,475.12,0,619.53,38,North,0.3
284,418.8,0,499.09,33,South,4.2
285,515.66,1,648.52,37,East,7.1
286,407.19,0,510.72,29,East,0.4
287,493.12,0,557.03,10,West,2.6
288,508.53,1,689.94,33,East,0.1
289,457.31,0,560.35,49,East,1.0
290,518.17,1,671.3,44,South,1.5
291,406.1,0,542.25,44,South,1.7
292,407.47,0,558.79,47,North,5.5
293,564.52,1,691.02,35,West,2.2
294,472.04,0,544.73,36,South,1.3
295,425.41,0,585.14,28,East,3.3
296,504.45,1,637.86,31,North,6.0
297,554.0,1,635.7,41,South,0.0
298,443.16,0,553.06,47,West,8.1
299,524.58,1,709.77,33,West,0.2
300,417.07,0,575.75,30,North,3.4
301,410.34,0,535.74,35,North,0.7
302,506.27,1,643.28,41,North,0.3
303,508.13,1,645.23,20,North,1.2
304,527.49,1,728.79,12,North,2.1
305,545.22,1,688.59,29,East,1.0
306,595.17,1,720.0,22,East,0.1
307,503.26,1,682.86,29,South,1.8
308,464.59,0,585.92,33,West,4.7
309,559.04,1,677.65,30,East,1.0
310,454.17,0,566.61,49,East,0.5
311,487.79,0,590.53,38,East,1.2
312,415.69,0,548.3,38,South,0.1
313,405.07,0,564.87,41,North,3.4
314,592.53,1,707.08,23,South,3.5
315,567.2,1,712.3,45,West,1.8
316,539.19,1,671.1,34,West,0.9
317,481.79,0,591.43,41,West,3.2
318,434.66,0,500.85,24,West,1.6
319,431.29,0,586.26,19,East,3.5
320,450.05,0,580.42,43,East,2.0
321,509.85,1,685.85,38,South,3.1
322,542.92,1,588.86,25,North,1.8
323,532.04,1,731.87,26,West,1.1
324,455.99,0,569.4,46,South,6.3
325,590.97,1,737.83,23,East,1.6
326,547.58,1,647.35,51,East,1.9
327,510.87,1,674.91,25,North,0.5
328,522.34,1,631.8,41,North,2.0
329,483.92,0,571.64,31,North,1.7
330,449.55,0,627.15,41,South,0.4
331,471.19,0,577.0,29,East,0.1
332,551.57,1,687.46,33,East,1.9
333,402.88,0,567.83,35,North,2.9
334,423.21,0,568.8,24,West,1.5
335,409.2,0,550.03,42,North,0.5
336,408.15,0,555.84,29,South,2.2
337,571.09,1,764.76,32,North,0.2
338,540.73,1,672.71,25,North,1.2
339,494.83,0,602.93,9,South,0.4
340,419.57,0,583.26,33,North,0.4
341,498.32,0,632.16,59,East,0.5
342,494.69,0,632.43,42,West,1.0
343,434.64,0,579.95,34,North,0.1
344,486.77,0,557.77,32,South,1.0
345,479.7,0,636.82,35,West,1.4
346,523.17,1,629.51,40,South,1.3
347,527.02,1,675.29,23,West,1.0
348,409.06,0,522.81,46,West,3.7
349,474.92,0,583.03,42,North,0.3
350,525.17,1,674.97,42,East,1.4
351,500.63,1,660.02,39,North,0.1
352,571.3,1,705.44,35,South,0.1
353,531.74,1,717.45,41,South,1.7
354,432.59,0,573.16,40,West,1.7
355,414.11,0,541.14,31,West,4.2
356,528.48,1,696.01,29,East,1.6
357,405.3,0,578.87,36,North,6.4
358,517.16,1,623.46,50,South,0.1
359,588.05,1,720.75,22,West,0.2
360,515.09,1,680.09,20,East,0.1
361,477.63,0,577.65,36,South,0.4
362,528.66,1,708.47,35,West,1.6
363,491.65,0,590.49,36,South,2.1
364,509.12,1,659.24,37,East,0.1
365,588.29,1,697.78,32,East,5.8
366,477.22,0,586.8,49,South,3.7
367,592.24,1,672.45,18,North,0.7
368,581.07,1,655.44,26,South,0.2
369,439.16,0,611.33,33,West,0.4
370,413.87,0,522.91,18,North,0.3
371,420.16,0,522.35,33,West,0.3
372,403.64,0,477.58,51,South,1.5
373,418.89,0,532.16,35,North,0.6
374,536.6,1,632.27,37,West,0.9
375,414.24,0,597.8,22,South,9.1
376,463.8,0,608.57,28,South,2.3
377,568.98,1,670.74,31,North,6.0
378,404.65,0,610.37,31,South,0.3
379,562.89,1,717.19,47,East,1.0
380,456.37,0,564.08,40,West,1.6
381,423.63,0,479.2,23,West,0.2
382,539.35,1,742.34,37,South,0.0
383,525.79,1,623.79,39,South,2.2
384,575.49,1,645.93,46,East,2.1
385,547.01,1,708.89,50,North,1.1
386,560.7,1,759.61,24,South,1.3
387,456.41,0,615.37,26,South,1.1
388,435.49,0,578.21,22,South,0.0
389,550.12,1,697.92,32,South,0.8
390,561.37,1,712.42,39,West,0.4
391,598.1,1,731.63,44,South,0.2
392,482.52,0,597.95,34,West,6.3
393,474.4,0,587.77,31,South,1.8
394,555.28,1,681.29,36,North,2.6
395,468.16,0,558.28,26,East,0.8
396,586.15,1,693.27,55,North,1.0
397,571.68,1,642.22,18,South,0.5
398,485.8,0,588.53,36,South,0.2
399,550.17,1,650.45,55,South,0.4
400,550.91,1,647.44,35,North,3.2
401,420.62,0,557.77,33,South,2.3
402,580.51,1,740.07,31,North,1.6
403,501.05,1,678.18,33,West,1.3
404,565.29,1,642.06,48,East,5.1
405,464.01,0,548.72,12,East,0.2
406,579.1,1,725.69,50,North,0.7
407,477.84,0,557.23,20,West,0.9
408,402.17,0,534.56,32,North,3.1
409,581.08,1,715.15,30,West,9.8
410,418.26,0,521.9,40,South,0.6
411,463.86,0,581.48,19,West,4.1
412,590.01,1,663.99,39,West,3.6
413,590.12,1,686.03,55,West,0.5
414,514.69,1,668.41,21,East,1.0
415,526.37,1,618.03,36,West,1.1
416,489.69,0,607.03,28,South,7.7
417,458.64,0,574.6,39,South,0.4
418,465.73,0,596.01,35,South,3.2
419,534.5,1,677.42,28,West,0.8
420,550.47,1,721.21,39,North,2.6
421,558.32,1,688.75,53,North,1.1
422,557.92,1,671.87,33,South,1.7
423,418.24,0,554.61,42,East,3.6
424,498.88,0,615.63,22,North,3.3
425,411.51,0,548.37,25,West,4.0
426,509.91,1,657.16,39,North,0.1
427,488.31,0,571.92,49,South,2.4
428,577.54,1,676.64,38,East,0.3
429,470.18,0,540.03,31,North,1.1
430,423.41,0,606.54,34,North,1.6
431,428.6,0,519.84,22,South,1.0
432,552.3,1,660.59,41,East,1.5
433,523.64,1,642.63,43,East,11.3
434,420.22,0,578.98,30,South,0.3
435,416.82,0,541.24,30,West,2.3
436,540.19,1,711.55,37,North,1.0
437,414.55,0,528.53,30,West,0.3
438,564.37,1,696.99,34,North,0.3
439,541.25,1,649.69,55,North,6.0
440,416.27,0,614.12,32,West,4.2
441,416.97,0,514.55,31,South,4.8
442,597.33,1,717.69,28,South,9.5
443,474.85,0,603.93,42,North,0.5
444,474.13,0,596.89,33,South,0.9
445,562.56,1,681.98,28,North,2.2
446,589.45,1,699.78,48,South,1.3
447,597.2,1,709.63,49,North,1.1
448,550.68,1,676.0,28,South,0.9
449,475.25,0,614.07,16,East,1.8
450,416.7,0,616.34,45,West,1.7
451,555.43,1,666.53,28,East,0.4
452,511.68,1,615.91,42,West,1.3
453,484.84,0,588.26,15,West,1.6
454,581.27,1,776.15,43,North,1.7
455,422.24,0,529.23,22,West,0.5
456,498.53,0,648.29,42,East,2.7
457,402.27,0,591.69,35,East,0.1
458,493.73,0,579.63,25,South,0.9
459,411.26,0,563.83,30,East,3.0
460,423.76,0,603.11,41,South,1.7
461,423.51,0,542.73,36,West,0.6
462,529.84,1,661.8,40,East,2.4
463,549.21,1,662.07,54,West,1.7
464,516.67,1,629.56,19,East,3.2
465,592.43,1,685.98,51,East,2.7
466,474.97,0,548.27,36,South,1.9
467,457.14,0,575.31,26,West,1.3
468,573.72,1,671.13,21,East,0.3
469,444.72,0,573.85,33,North,0.6
470,592.64,1,658.91,44,West,1.1
471,402.43,0,551.38,33,West,1.8
472,593.98,1,731.39,50,West,1.4
473,408.63,0,485.37,20,South,0.7
474,578.23,1,708.16,34,North,0.0
475,505.54,1,690.15,22,West,1.4
476,598.59,1,672.87,38,East,0.7
477,414.76,0,599.03,43,East,2.7
478,510.77,1,669.03,30,South,0.0
479,593.86,1,685.17,8,East,1.8
480,504.62,1,651.1,36,West,5.7
481,525.88,1,682.28,39,East,0.4
482,539.15,1,675.77,39,West,1.3
483,490.91,0,610.71,47,East,0.2
484,525.51,1,637.69,24,North,2.0
485,516.86,1,665.2,41,South,1.6
486,580.23,1,655.73,46,South,1.0
487,409.09,0,542.12,17,North,1.5
488,456.19,0,546.6,38,North,4.5
489,590.08,1,681.98,29,South,0.4
490,578.05,1,733.91,34,North,0.0
491,491.13,0,627.42,38,West,4.0
492,524.03,1,682.69,30,East,1.7
493,455.48,0,540.52,28,South,4.4
494,437.62,0,553.08,35,North,1.8
495,492.74,0,632.04,24,West,3.3
496,470.67,0,586.65,24,South,1.1
497,516.73,1,729.62,41,North,2.8
498,415.55,0,561.13,23,South,4.9
499,594.88,1,712.69,41,North,1.7
500,597.24,1,699.07,39,South,0.4
501,539.63,1,677.79,17,West,0.6
502,507.22,1,649.76,28,West,0.4
503,461.91,0,598.39,46,East,0.6
504,562.76,1,716.36,25,South,0.7
505,536.95,1,648.59,30,East,1.6
506,432.52,0,519.58,39,South,1.8
507,582.19,1,644.23,42,North,1.1
508,564.51,1,703.94,32,North,1.9
509,589.96,1,670.87,29,East,0.2
510,545.14,1,612.5,49,South,0.2
511,522.68,1,675.27,52,East,0.4
512,483.65,0,664.98,44,West,1.5
513,586.55,1,701.75,35,East,0.5
514,573.21,1,719.08,26,East,0.7
515,409.04,0,547.88,26,North,1.0
516,405.27,0,540.2,40,East,3.3
517,475.29,0,612.75,39,South,0.0
518,562.11,1,678.56,49,North,2.1
519,597.46,1,716.49,41,East,2.2
520,430.08,0,567.7,19,West,3.2
521,518.83,1,641.25,45,East,5.4
522,476.18,0,615.47,25,East,0.0
523,593.98,1,701.14,31,East,0.3
524,568.42,1,668.38,37,North,4.3
525,567.67,1,706.69,54,South,1.2
526,493.74,0,569.29,66,West,1.7
527,482.96,0,590.62,41,East,2.2
528,454.68,0,572.54,33,South,2.3
529,411.28,0,579.34,40,South,5.4
530,572.94,1,708.01,43,North,11.6
531,562.58,1,686.8,31,West,2.5
532,599.94,1,734.5,52,North,0.7
533,599.33,1,751.3,37,South,4.2
534,511.09,1,673.39,39,South,0.1
535,553.8,1,682.59,41,South,0.5
536,588.95,1,664.02,39,North,4.6
537,569.93,1,660.0,43,West,0.6
538,449.47,0,560.53,28,East,0.5
539,490.11,0,575.78,29,North,0.3
540,425.83,0,549.89,23,South,3.9
541,590.81,1,706.19,39,North,1.4
542,521.23,1,678.63,42,South,2.2
543,445.73,0,565.32,39,East,0.5
544,534.34,1,685.2,51,East,2.8
545,523.63,1,666.11,34,West,2.9
546,471.63,0,523.72,41,South,0.7
547,422.71,0,525.45,24,West,1.1
548,534.31,1,666.27,31,West,0.5
549,504.06,1,616.15,41,East,7.5
550,554.46,1,700.68,43,North,2.1
551,504.03,1,698.34,32,North,5.5
552,570.44,1,728.82,34,West,0.7
553,510.38,1,649.83,19,East,3.0
554,512.19,1,702.03,31,South,2.9
555,575.33,1,699.66,43,North,2.4
556,480.7,0,578.31,40,West,6.7
557,426.8,0,537.68,40,North,1.0
558,405.76,0,534.38,35,North,0.3
559,551.03,1,668.97,35,South,2.2
560,524.06,1,669.55,28,East,2.6
561,540.82,1,679.31,41,South,1.7
562,442.59,0,565.65,39,East,0.5
563,427.27,0,569.47,39,North,1.4
564,402.91,0,577.46,29,West,0.7
565,470.12,0,610.56,13,South,1.1
566,517.98,1,616.24,45,East,2.1
567,478.45,0,510.45,30,North,2.7
568,487.49,0,620.53,26,East,0.5
569,580.83,1,657.49,41,East,1.0
570,469.65,0,575.05,31,East,0.6
571,502.8,1,616.58,45,North,0.4
572,556.73,1,629.98,41,West,3.1
573,479.31,0,603.83,41,West,4.8
574,524.42,1,687.43,21,West,0.9
575,572.47,1,676.19,47,East,2.8
576,589.9,1,626.21,37,North,4.5
577,429.41,0,541.26,31,East,3.7
578,585.32,1,712.94,36,West,0.4
579,498.42,0,554.69,17,West,6.3
580,451.65,0,576.49,39,North,0.9
581,491.83,0,594.64,24,East,0.8
582,596.01,1,724.98,21,South,0.1
583,498.52,0,602.7,19,South,1.3
584,465.75,0,550.26,46,West,0.2
585,526.68,1,701.91,28,North,0.6
586,448.03,0,564.06,50,East,0.8
587,415.17,0,548.28,29,East,3.3
588,425.78,0,527.47,17,West,4.2
589,425.61,0,542.07,23,West,0.7
590,430.38,0,531.68,47,East,3.9
591,427.77,0,551.47,33,East,3.9
592,528.17,1,718.26,29,West,2.9
593,436.38,0,520.67,36,East,0.3
594,469.13,0,533.07,40,South,2.3
595,579.36,1,741.75,46,West,5.8
596,494.79,0,590.6,49,East,2.3
597,533.51,1,650.03,31,West,0.8
598,434.46,0,591.88,21,North,1.4
599,438.46,0,544.91,30,West,2.1
600,408.17,0,599.68,37,West,1.4
601,433.79,0,580.61,25,North,0.3
602,455.72,0,558.79,25,South,0.7
603,435.4,0,625.96,38,East,3.2
604,417.74,0,532.47,34,North,4.0
605,424.13,0,576.74,35,West,0.3
606,492.16,0,604.27,27,East,6.1
607,441.27,0,603.81,32,North,0.8
608,472.85,0,630.56,25,East,2.2
609,500.68,1,651.37,43,East,2.8
610,538.08,1,650.24,45,North,3.3
611,407.86,0,558.52,16,East,5.8
612,559.88,1,665.6,25,South,0.8
613,525.58,1,725.75,20,North,3.9
614,416.35,0,553.91,28,South,0.3
615,574.72,1,683.87,34,West,2.4
616,584.17,1,706.05,20,East,2.7
617,412.22,0,506.92,25,West,2.3
618,455.38,0,544.08,24,West,0.6
619,561.24,1,722.76,37,East,4.1
620,549.65,1,660.08,35,North,0.4
621,436.9,0,530.74,27,East,0.1
622,441.87,0,581.22,36,West,2.5
623,474.09,0,620.03,29,West,1.3
624,496.9,0,619.71,32,North,3.8
625,523.65,1,694.07,51,East,1.0
626,473.78,0,561.57,48,West,0.4
627,492.51,0,552.85,22,South,3.6
628,549.49,1,724.74,43,West,1.6
629,407.34,0,534.72,43,West,0.4
630,450.49,0,562.77,23,North,2.5
631,542.67,1,715.45,43,South,1.4
632,579.04,1,714.11,50,West,1.9
633,502.34,1,665.08,23,West,1.2
634,506.42,1,718.8,25,South,3.5
635,421.43,0,533.56,45,East,3.5
636,489.48,0,621.52,37,East,2.5
637,506.52,1,655.62,40,West,0.2
638,448.49,0,577.15,38,West,3.7
639,453.85,0,618.16,38,East,2.2
640,475.46,0,600.51,21,North,2.4
641,404.01,0,558.56,45,South,0.9
642,464.42,0,610.82,46,South,4.2
643,442.29,0,554.43,32,North,2.6
644,465.5,0,554.12,34,North,0.2
645,423.95,0,523.03,19,North,1.0
646,578.11,1,637.87,40,North,4.3
647,518.72,1,722.92,40,North,0.1
648,535.82,1,638.4,34,North,6.5
649,557.83,1,678.06,46,South,2.3
650,499.69,0,591.51,31,North,2.0
651,417.38,0,559.65,40,East,0.6
652,507.42,1,678.92,24,North,0.6
653,517.37,1,686.24,34,North,5.7
654,549.09,1,661.96,33,South,0.7
655,486.33,0,586.79,37,South,3.0
656,425.52,0,563.79,31,North,1.0
657,456.76,0,566.59,33,South,0.3
658,472.62,0,631.79,43,West,0.0
659,529.18,1,682.24,30,South,1.6
660,514.16,1,680.54,18,South,7.4
661,471.22,0,602.62,52,South,0.9
662,597.3,1,743.59,48,South,0.9
663,521.15,1,668.12,22,East,0.8
664,447.45,0,529.56,41,East,1.5
665,420.36,0,564.2,29,East,1.2
666,430.57,0,538.8,37,North,4.2
667,449.19,0,553.66,37,North,1.4
668,432.14,0,576.87,32,West,1.4
669,437.31,0,599.54,27,East,0.3
670,457.02,0,574.85,28,North,8.1
671,434.67,0,570.07,25,South,0.6
672,579.35,1,748.68,26,South,0.2
673,416.05,0,556.85,34,East,2.2
674,504.9,1,730.99,27,West,1.8
675,482.08,0,606.21,41,West,1.1
676,596.48,1,655.06,49,South,1.1
677,422.41,0,576.04,29,West,3.1
678,479.57,0,599.18,37,East,0.4
679,593.89,1,745.03,39,South,3.4
680,573.1,1,714.06,39,North,2.1
681,563.41,1,683.89,35,North,1.1
682,451.58,0,534.22,42,West,1.2
683,434.18,0,554.24,39,South,0.6
684,533.73,1,644.72,22,South,2.8
685,585.88,1,684.11,43,North,1.4
686,511.35,1,674.47,43,South,0.8
687,514.32,1,708.69,27,South,1.8
688,456.0,0,585.44,35,South,10.9
689,553.9,1,646.46,41,West,1.1
690,437.41,0,575.78,32,South,5.1
691,464.74,0,614.74,45,East,0.8
692,485.09,0,572.76,58,West,0.1
693,501.52,1,646.89,27,South,0.5
694,448.48,0,569.53,21,South,1.1
695,422.97,0,530.23,38,East,0.5
